Company,Year,Quoted Boards To Date,Quoted Boards Currently,Years On Board,Age,Education,SD of Years on Board,SD of Years in Organization,SD of Age,SD of Education,Gender,
HEWLETT-PACKARD (HP) CO (Quoted),Oct-08,4,2.1,4.8,59.1,2.1,4.3,14.4,1.9,6.5,0.6,77.8
HEWLETT-PACKARD (HP) CO (Quoted),Oct-07,3.9,2.6,3.8,58.1,2.1,4.3,14.4,1.9,6.5,0.6,77.8
HNI CORP (Hon Industries prior to 05/2004) (Quoted),Current,2.6,1.7,8.6,58.5,2.2,2.8,2.8,1.5,5.2,0.6,70
HNI CORP (Hon Industries prior to 05/2004) (Quoted),Jan-10,2.5,1.9,7.5,58.2,2.3,2.7,2.7,1.3,5.4,0.6,72.7
HNI CORP (Hon Industries prior to 05/2004) (Quoted),Jan-09,2.4,1.8,6.4,56.7,2.2,2.6,2.6,1.3,5.4,0.7,75
HNI CORP (Hon Industries prior to 05/2004) (Quoted),Dec-07,2.1,1.5,5.3,54.8,2.2,2.6,2.6,1,5.5,0.7,75
HOLOGIC INC (Quoted),Current,3.8,2.8,6.2,62.7,2,2.6,7.7,2.2,5.1,0.6,50
HOLOGIC INC (Quoted),Sep-09,3.8,2.8,4.9,60.7,2,2.6,7.7,2.2,5.1,0.6,50
HOLOGIC INC (Quoted),Sep-08,3.3,2.3,3.1,60.5,1.6,2.6,7.2,1.7,5.3,0.9,62.5
HOLOGIC INC (Quoted),Sep-07,1.5,1.3,5.3,63.4,2.3,5.6,8.2,0.8,6.2,2.2,66.7
HOME DEPOT INC (Quoted),Current,6,2.4,5.3,60.5,2,3.5,3.5,2.5,7.4,0.7,75
HOME DEPOT INC (Quoted),Jan-10,6,2.4,4.3,59.5,2,3.5,3.5,2.5,7.4,0.7,75
HOME DEPOT INC (Quoted),Feb-09,5.4,2.3,3.1,57.4,2,3.4,3.4,2.6,7.6,0.7,77.8
HOME DEPOT INC (Quoted),Feb-08,7.2,3.3,7.8,62.4,1.8,10.2,10.2,4.9,10,0.7,84.6
HOVNANIAN ENTERPRISES INC (Quoted),Current,4.4,2.6,11.4,66.2,2.2,9,9,1.7,6.2,0.7,100
HOVNANIAN ENTERPRISES INC (Quoted),Oct-09,4,2.6,10.1,64.4,2.2,9,9,1.7,6.2,0.7,100
HOVNANIAN ENTERPRISES INC (Quoted),Oct-08,3.6,2.2,9.1,63.4,2.2,9,9,1.6,6.2,0.7,100
HOVNANIAN ENTERPRISES INC (Quoted),Oct-07,3.6,2.4,8.1,62.4,2.2,9,9,1.6,6.2,0.7,100
HUB GROUP INC (Quoted),Current,2,1.3,14.9,68.3,2.7,0,0,0.8,8.1,1.2,100
HUB GROUP INC (Quoted),Dec-09,2,1.3,13.8,66.3,2.7,0,0,0.8,8.1,1.2,100
HUB GROUP INC (Quoted),Dec-08,2,1.3,12.8,65.3,2.7,0,0,0.8,8.1,1.2,100
HUB GROUP INC (Quoted),Dec-07,2,1.3,11.8,64.3,2.7,0,0,0.8,8.1,1.2,100
HUDSON CITY BANCORP INC (Quoted),Current,1.4,1.1,8.1,67.7,2.9,3.6,3.6,0.7,3.1,0.8,85.7
HUDSON CITY BANCORP INC (Quoted),Dec-09,1.1,1.1,8.7,67.9,2.9,1.9,1.9,0.3,4.4,0.8,85.7
HUDSON CITY BANCORP INC (Quoted),Dec-08,1.1,1.1,7.7,66.9,2.9,1.9,1.9,0.3,4.4,0.8,85.7
HUDSON CITY BANCORP INC (Quoted),Dec-07,1.1,1.1,6.7,65.9,2.9,1.9,1.9,0.3,4.4,0.8,85.7
IDT CORP (Quoted),Current,1.4,1,4.8,61.8,1.8,5.2,5,0.8,7.4,0.4,100
IDT CORP (Quoted),Jul-10,1.5,1,5.5,62.5,2,5.2,5.2,0.9,7.3,0,100
IDT CORP (Quoted),Jul-09,3,1.3,3.1,62.3,2,0.9,0.9,2.8,11.3,0,100
IDT CORP (Quoted),Jul-08,3,1.3,2.1,61.3,2,0.9,0.9,2.8,11.3,0,100
IMATION CORP (Quoted),Current,4.1,1.8,8,62.4,2.2,5.5,5.5,3.3,6.9,0.8,77.8
IMATION CORP (Quoted),Dec-09,3.9,1.8,9,63.7,1.8,4,4,3.2,4.4,0.8,88.9
IMATION CORP (Quoted),Dec-08,3.6,1.7,7.4,61.7,1.8,4.2,4.2,3.2,5.1,0.7,90
IMATION CORP (Quoted),Dec-07,3.6,1.7,6.4,60.7,1.8,4.2,4.2,3.2,5.1,0.7,90
INERGY HOLDINGS LP (De-listed 11/2010) (Quoted),Nov-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
INERGY HOLDINGS LP (De-listed 11/2010) (Quoted),Sep-09,4.3,2.7,4.1,60,1.7,0.5,0.5,0.5,5.1,0.5,100
INERGY HOLDINGS LP (De-listed 11/2010) (Quoted),Sep-08,4,2.7,3.1,59,1.7,0.5,0.5,0.8,5.1,0.5,100
INERGY HOLDINGS LP (De-listed 11/2010) (Quoted),Sep-07,4,3,2.1,58,1.7,0.5,0.5,0.8,5.1,0.5,100
INTEL CORP (Quoted),Current,4,1.9,9.1,58.8,2.2,6.7,6.7,2.3,7.9,0.6,66.7
INTEL CORP (Quoted),Dec-09,4.8,2.3,7.9,56.9,2.4,6.4,6.4,3.2,7.7,0.8,70
INTEL CORP (Quoted),Dec-08,5.7,3,7.8,58.4,2.9,6.1,6.1,2.9,6.4,1,55.6
INTEL CORP (Quoted),Dec-07,5.7,2.9,11.1,58.8,2.6,11.3,11.3,2.6,7.7,0.7,66.7
INTERNATIONAL ASSETS HOLDING CORP (Quoted),Current,2.1,1.1,6.3,59.4,0.7,7,7,0.7,8.2,1,100
INTERNATIONAL ASSETS HOLDING CORP (Quoted),Sep-10,2.1,1.2,6,58.4,0.7,7,7,0.7,8.2,1,100
INTERNATIONAL ASSETS HOLDING CORP (Quoted),Sep-09,2.2,1.4,10,57.4,1.2,6.8,6.8,1,10.5,1.2,100
INTERNATIONAL ASSETS HOLDING CORP (Quoted),Sep-08,2.2,1.4,9,56.4,1.2,6.8,6.8,1,10.5,1.2,100
INTERNATIONAL BUSINESS MACHINES (IBM) CORP (Quoted),Current,5.8,3.1,5.3,64,2.4,3.4,3.4,3.8,4.7,1.4,83.3
INTERNATIONAL BUSINESS MACHINES (IBM) CORP (Quoted),Dec-09,5.8,3.3,5.4,63.7,2.4,4.1,4.1,3.8,4,1.4,75
INTERNATIONAL BUSINESS MACHINES (IBM) CORP (Quoted),Dec-08,5.7,3.2,4.9,63,2.5,4,4,4,4,1.4,72.7
INTERNATIONAL BUSINESS MACHINES (IBM) CORP (Quoted),Dec-07,6.6,3.3,6.4,63.3,2.6,4.1,4.1,4,5.4,1.3,75
INVACARE CORP (Quoted),Current,3.2,1.9,15,67.5,2.6,11.3,11,2,5.4,1.3,90
INVACARE CORP (Quoted),Dec-09,3.1,2,14.7,63.8,2.4,9.2,8.6,1.8,6.3,1.5,87.5
INVACARE CORP (Quoted),Dec-08,3.3,2,13.9,62.6,2.5,8.8,8.8,1.6,6.2,1.5,87.5
INVACARE CORP (Quoted),Dec-07,3.1,2.1,12.9,61.6,2.5,8.8,8.8,1.6,6.2,1.5,87.5
J CREW GROUP INC (Quoted),Current,5.1,1.6,6.8,63,1.9,4.5,4.5,4.5,9.8,0.6,75
J CREW GROUP INC (Quoted),Jan-10,5,1.5,5.9,60.8,1.6,4.3,4.3,4.5,11.7,0.5,62.5
J CREW GROUP INC (Quoted),Jan-09,5.6,1.6,5.8,60.4,1.8,3.7,3.7,4.2,10.7,0.4,75
J CREW GROUP INC (Quoted),Feb-08,5.6,1.9,4.8,59.4,1.8,3.7,3.7,4.2,10.7,0.4,75
JEFFERIES GROUP INC (Quoted),Current,4.8,2.3,7.2,69.8,1,5.2,5.2,2.5,5.8,0.8,100
JEFFERIES GROUP INC (Quoted),Dec-09,4.8,2.5,6.1,67.8,1,5.2,5.2,2.5,5.8,0.8,100
JEFFERIES GROUP INC (Quoted),Dec-08,4.8,2.8,5.1,66.8,1,5.2,5.2,2.5,5.8,0.8,100
JEFFERIES GROUP INC (Quoted),Dec-07,3.4,2.2,8.4,66,1.2,6.1,6.1,2.2,6.2,1.5,100
JOHNSON & JOHNSON (Quoted),Current,4.1,2.5,6.6,64,2.2,4.3,4.3,2.1,5.1,0.9,70
JOHNSON & JOHNSON (Quoted),Jan-10,4.5,2.7,7.5,64.8,2.2,5.3,5.3,2.1,4.6,0.9,70
JOHNSON & JOHNSON (Quoted),Dec-08,3.9,2.3,7.2,64.3,2.3,5,5,1.7,4,0.8,77.8
JOHNSON & JOHNSON (Quoted),Dec-07,4.1,2.4,6,62.9,2.3,4.8,4.8,2.1,4,0.8,80
KANSAS CITY SOUTHERN (Kansas City Southern Industries prior to 05/2002) (Quoted),Current,4.4,2.6,6.4,60.3,2.3,6.5,7.1,2.6,6.2,0.5,85.7
KANSAS CITY SOUTHERN (Kansas City Southern Industries prior to 05/2002) (Quoted),Dec-09,4.7,3.1,8,62.3,2.7,5.7,6,2.3,5.3,0.9,85.7
KANSAS CITY SOUTHERN (Kansas City Southern Industries prior to 05/2002) (Quoted),Dec-08,4.6,3,7,61.3,2.7,5.7,6,2.3,5.3,0.9,85.7
KANSAS CITY SOUTHERN (Kansas City Southern Industries prior to 05/2002) (Quoted),Dec-07,4.5,3,7,59.2,2.8,5.5,5.7,2.6,4.9,0.9,83.3
KAR Auction Services Inc (KAR Holdings Inc prior to 11/2009) (Listed 12/2009) (Private),Dec-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
KAR Auction Services Inc (KAR Holdings Inc prior to 11/2009) (Listed 12/2009) (Private),Dec-08,4,1.4,1.7,41.4,1.6,0,0,2,7,0.7,100
KEY ENERGY SERVICES INC (Quoted),Current,3.2,2,7.7,58,1.9,5,5,1.6,8.3,0.5,90.9
KEY ENERGY SERVICES INC (Quoted),Dec-09,3,2,7.4,58.2,2,4.6,4.6,1.7,6,0.4,90
KEY ENERGY SERVICES INC (Quoted),Dec-08,2.9,2,6.4,57.2,2,4.6,4.6,1.5,6,0.4,90
KEY ENERGY SERVICES INC (Quoted),Dec-07,2.7,1.8,5.4,56.2,2,4.6,4.6,1.5,6,0.4,90
KROGER CO (Quoted),Current,4.1,2.3,10.2,62.5,2.3,5.8,5.6,1.7,5.5,0.5,83.3
KROGER CO (Quoted),Jan-10,3.8,2,9.2,61.6,2.3,5.8,5.6,1.9,5.5,0.5,83.3
KROGER CO (Quoted),Jan-09,3.8,2.1,8.2,60.6,2.3,5.8,5.6,1.8,5.5,0.5,83.3
KROGER CO (Quoted),Feb-08,4.3,2.3,9,61.6,2.2,6.9,6.5,2.5,7.2,0.6,78.6
LAM RESEARCH CORP (Quoted),Current,3.4,1.6,15.3,62.4,2.4,12.8,12.8,2,9.2,0.5,80
LAM RESEARCH CORP (Quoted),Jun-10,3,1.4,17.3,67,2.4,10.6,10.6,1.8,7.7,0.5,80
LAM RESEARCH CORP (Quoted),Jun-09,2.5,1.5,14.5,65.6,2,11.1,11.1,1.6,6.5,0.7,75
LAM RESEARCH CORP (Quoted),Jun-08,2.5,1.5,13.5,64.6,2,11.1,11.1,1.6,6.5,0.7,75
LA-Z-BOY INC (Quoted),Current,2.4,1.8,9.5,63.8,2.4,10.1,10.1,1.5,4.4,1,80
LA-Z-BOY INC (Quoted),Apr-10,2.3,1.8,10.6,64.3,2.3,11.1,11.1,1.4,5.2,1.2,83.3
LA-Z-BOY INC (Quoted),Apr-09,2.4,1.9,11.7,64,2.4,11.1,11.1,1.4,5.3,1.2,90
LA-Z-BOY INC (Quoted),Apr-08,2.4,1.9,11.9,64,2.3,10.9,10.9,1.5,4.5,1.2,100
LEAP WIRELESS INTERNATIONAL INC (Quoted),Current,7.1,2.7,4.8,58.9,2.3,3.6,3.6,2.2,6.4,0.7,100
LEAP WIRELESS INTERNATIONAL INC (Quoted),Dec-09,6.9,3,3.7,57.1,2.3,3.6,3.6,2.2,6.4,0.7,100
LEAP WIRELESS INTERNATIONAL INC (Quoted),Dec-08,7.3,3.5,5.4,56.3,2.3,2.5,2.5,2.2,7.3,0.8,100
LEAP WIRELESS INTERNATIONAL INC (Quoted),Dec-07,7,4,4.4,55.3,2.3,2.5,2.5,2.5,7.3,0.8,100
LEHMAN BROTHERS HOLDINGS INC (De-listed 09/2008) (Quoted),Sep-08,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
LEHMAN BROTHERS HOLDINGS INC (De-listed 09/2008) (Quoted),Nov-07,5,2.1,10.5,68.3,1.7,6.1,6.1,2.1,9.9,1.2,88.9
LEHMAN BROTHERS HOLDINGS INC (De-listed 09/2008) (Quoted),Nov-06,5,2.3,9.5,67.3,1.7,6.1,6.1,2.1,9.9,1.2,88.9
LEHMAN BROTHERS HOLDINGS INC (De-listed 09/2008) (Quoted),Nov-05,4.5,2.2,9.5,67.6,1.5,6.4,6.4,2,10.1,1.3,80
LOCKHEED MARTIN CORP (Quoted),Current,4,2.2,7.3,64.9,3.5,3.9,3.9,2.1,6,1.4,80
LOCKHEED MARTIN CORP (Quoted),Dec-09,4,2.3,8,65.5,3.3,4.3,4.3,1.9,5.6,1.4,83.3
LOCKHEED MARTIN CORP (Quoted),Dec-08,4,2.5,7,64.5,3.3,4.3,4.3,1.9,5.6,1.4,83.3
LOCKHEED MARTIN CORP (Quoted),Dec-07,4.2,2.5,7.5,65.7,2.8,4.3,4.3,1.6,5,1.2,84.6
LOUISIANA-PACIFIC CORP (Quoted),Current,5,2.6,7.9,65.4,2.6,4.1,4.1,2.8,5.4,1.2,87.5
LOUISIANA-PACIFIC CORP (Quoted),Dec-09,5.3,3,7.8,63.6,2.6,3.3,3.3,2.9,6,1.3,85.7
LOUISIANA-PACIFIC CORP (Quoted),Dec-08,5.3,3,6.8,62.6,2.6,3.3,3.3,2.9,6,1.3,85.7
LOUISIANA-PACIFIC CORP (Quoted),Dec-07,5.1,3,5.8,61.6,2.6,3.3,3.3,2.6,6,1.3,85.7
LOWE'S COS INC (Quoted),Current,5.6,3,8.2,65.3,2.5,3.9,3.9,3.3,5.8,2.8,90.9
LOWE'S COS INC (Quoted),Jan-10,5.5,3,8,65.2,2.6,3.2,3.2,3,5.3,2.9,90
LOWE'S COS INC (Quoted),Jan-09,5.5,3.2,7,64.2,2.6,3.2,3.2,3,5.3,2.9,90
LOWE'S COS INC (Quoted),Feb-08,5.3,3.2,6,63.2,2.6,3.2,3.2,2.8,5.3,2.9,90
MARATHON OIL CORP (USX Marathon Group prior to 01/2002) (Quoted),Current,7.1,3.3,9.8,64.5,2.7,6.3,6.3,4.2,5.5,1.3,91.7
MARATHON OIL CORP (USX Marathon Group prior to 01/2002) (Quoted),Dec-09,7.3,3.5,9.7,63.9,2.6,5.8,5.8,4.2,4.9,1.4,90.9
MARATHON OIL CORP (USX Marathon Group prior to 01/2002) (Quoted),Dec-08,6.5,3.3,9.2,63.1,2.5,5.2,5.2,4.2,4.9,1.3,90.9
MARATHON OIL CORP (USX Marathon Group prior to 01/2002) (Quoted),Dec-07,6.9,3.6,9,63,2.6,4.6,4.6,4.2,4.1,1.4,90
MASTEC INC (Quoted),Current,2.1,1.6,9.6,59.1,1.4,4.3,4.3,1.2,8.2,0.9,85.7
MASTEC INC (Quoted),Dec-09,2,1.4,8.5,57.1,1.4,4.3,4.3,1.3,8.2,0.9,85.7
MASTEC INC (Quoted),Dec-08,2,1.4,7.5,56.1,1.4,4.3,4.3,1.3,8.2,0.9,85.7
MASTEC INC (Quoted),Dec-07,1.8,1.3,6.2,54.7,1.1,3.9,4.2,0.9,7.5,1,88.9
MAXIM INTEGRATED PRODUCTS (Quoted),Current,3.2,1.5,11,64.2,2.2,8.8,8.8,2,7.7,0.7,100
MAXIM INTEGRATED PRODUCTS (Quoted),Jun-10,3,1.7,10.4,63.2,2.2,8.8,8.8,1.7,7.7,0.7,100
MAXIM INTEGRATED PRODUCTS (Quoted),Jun-09,2.8,1.7,9.4,62.2,2.2,8.8,8.8,1.6,7.7,0.7,100
MAXIM INTEGRATED PRODUCTS (Quoted),Jun-08,2.3,1.8,12.7,65.8,2.5,7.8,7.8,1.6,4.7,0.5,100
MCKESSON CORP (Quoted),Current,5.5,2,8.9,66.8,2.5,4.9,4.9,2,4.3,1.4,62.5
MCKESSON CORP (Quoted),Mar-10,5.4,2.3,8.1,65.8,2.5,4.9,4.9,1.9,4.3,1.4,62.5
MCKESSON CORP (Quoted),Mar-09,5.7,2.4,7.5,65.6,2.2,4.8,4.8,2,4.7,1.5,66.7
MCKESSON CORP (Quoted),Mar-08,5.3,2.5,7.3,64.9,2.3,4.4,4.4,1.7,4.9,1.6,62.5
MEDCO HEALTH SOLUTIONS INC (Quoted),Current,4.9,2,5.8,63.8,2.3,1.8,1.8,2.8,6.1,1,75
MEDCO HEALTH SOLUTIONS INC (Quoted),Dec-09,4.9,2.3,4.7,62,2.3,1.8,1.8,2.8,5.8,1,75
MEDCO HEALTH SOLUTIONS INC (Quoted),Dec-08,5.2,2.7,3.3,60,2.4,2,2,2.8,6.2,1.1,66.7
MEDCO HEALTH SOLUTIONS INC (Quoted),Dec-07,4.8,3,2.7,60,2.3,1.8,1.8,2.5,5.8,1,75
MEREDITH CORP (Quoted),Current,3.5,2,13.2,61.8,1.4,11.9,11.9,2.5,4.8,0.9,62.5
MEREDITH CORP (Quoted),Jun-10,3.5,2,12.6,60.8,1.4,11.9,11.9,2.5,4.8,0.9,62.5
MEREDITH CORP (Quoted),Jun-09,4.4,2.4,11.8,62.7,1.6,10.3,10.4,3,6.4,1,72.7
MEREDITH CORP (Quoted),Jun-08,4,2.2,11.9,62,1.7,10.2,10.2,2.9,6.7,1,80
MERRILL LYNCH & CO INC (De-listed 01/2009) (Quoted),Jan-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
MERRILL LYNCH & CO INC (De-listed 01/2009) (Quoted),Dec-07,3.8,2.5,4,61.1,2.1,3.5,3.9,2.8,5.4,0.9,63.6
MERRILL LYNCH & CO INC (De-listed 01/2009) (Quoted),Dec-06,4.5,2.8,6.1,61.9,1.9,7.8,7.8,2.7,6.8,0.9,66.7
MERRILL LYNCH & CO INC (De-listed 01/2009) (Quoted),Dec-05,4.5,2.8,6.1,60,1.8,7.7,7.6,2.3,7.3,0.9,72.7
METLIFE INC (Quoted),Current,4.4,2.8,5.4,60.4,2.7,2.6,2.6,4,7.2,0.9,66.7
METLIFE INC (Quoted),Dec-09,4.1,2.6,5.2,60.8,2.6,3.2,3.2,3.6,8.2,0.9,71.4
METLIFE INC (Quoted),Dec-08,4.4,2.8,4.8,60.9,2.7,3.1,3.1,3.9,8.3,0.9,75
METLIFE INC (Quoted),Dec-07,4.9,2.8,5.5,63,2.7,2.9,2.9,4,9.3,0.7,76.9
METTLER TOLEDO INTERNATIONAL INC (Quoted),Current,3.1,2,6.9,59,2,4.4,4.4,1.6,6.5,0.5,100
METTLER TOLEDO INTERNATIONAL INC (Quoted),Dec-09,3.1,2.1,5.8,57.4,2,4.4,4.4,1.6,6.6,0.5,100
METTLER TOLEDO INTERNATIONAL INC (Quoted),Dec-08,3.5,2.1,6.3,60.3,2,3.7,3.7,1.4,7.3,0.5,100
METTLER TOLEDO INTERNATIONAL INC (Quoted),Dec-07,3.7,2.4,6.1,60.6,2,3.1,3.1,1.3,6.8,0.5,100
MGIC INVESTMENT CORP (Quoted),Current,4.1,2,11.3,65,1.6,6.9,6.9,3,7.3,0.8,100
MGIC INVESTMENT CORP (Quoted),Dec-09,4.1,2,13.3,63.7,1.7,5.2,5.2,3,7,0.9,100
MGIC INVESTMENT CORP (Quoted),Dec-08,4.1,2.1,12.3,62.7,1.7,5.2,5.2,3,7,0.9,100
MGIC INVESTMENT CORP (Quoted),Dec-07,4,2.2,11.3,61.7,1.7,5.2,5.2,2.8,7,0.9,100
Michael Foods Inc (M-Foods Holdings Inc prior to 11/2003) (Private),Current,4,n.a.,5.6,58.8,1.8,2.2,1.9,2.4,11.2,0.9,100
Michael Foods Inc (M-Foods Holdings Inc prior to 11/2003) (Private),Jan-10,4,n.a.,4.6,57.8,1.8,2.2,1.9,2.4,11.2,0.9,100
Michael Foods Inc (M-Foods Holdings Inc prior to 11/2003) (Private),Jan-09,4,1,3.6,56.8,1.8,2.2,1.9,2.4,11.2,0.9,100
MICROSOFT CORP (Quoted),Current,4.6,2,12.6,59.4,2.4,11.9,11.9,2.7,5.4,0.7,75
MICROSOFT CORP (Quoted),Jun-10,4.6,2,12.1,58.6,2.4,11.9,11.9,2.7,5.6,0.7,75
MICROSOFT CORP (Quoted),Jun-09,5.4,2.6,10.7,58,2.4,11.3,11.3,3.7,5.4,0.7,77.8
MICROSOFT CORP (Quoted),Jun-08,5.9,2.8,10,59.3,2.6,9.4,9.4,3.7,6.8,0.5,87.5
MILLER(HERMAN) INC (Quoted),Current,2.9,1.5,10,60.8,2.1,5.1,5.7,1.8,6.8,0.9,80
MILLER(HERMAN) INC (Quoted),May-10,2.8,1.4,10.8,60.9,2.1,6.7,7,1.6,7.4,0.9,81.8
MILLER(HERMAN) INC (Quoted),May-09,2.8,1.5,10,59.2,2.2,6.5,6.8,1.5,7.4,0.8,81.8
MILLER(HERMAN) INC (Quoted),May-08,2.7,1.5,9,58.2,2.2,6.5,6.8,1.5,7.4,0.8,81.8
MILLIPORE CORP (De-listed 07/2010) (Quoted),Jul-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
MILLIPORE CORP (De-listed 07/2010) (Quoted),Dec-08,3.6,2,11.4,65.3,3,8.6,8.6,1.8,4,1.2,77.8
MILLIPORE CORP (De-listed 07/2010) (Quoted),Dec-07,3.3,1.8,10.4,64.3,3,8.6,8.6,1.8,4,1.2,77.8
MILLIPORE CORP (De-listed 07/2010) (Quoted),Dec-06,3.2,2.3,9.4,63.3,3,8.6,8.6,1.6,4,1.2,77.8
MODINE MANUFACTURING CO (Quoted),Current,3,1.9,13.5,65.7,1.8,10.9,10.9,1.6,6.2,0.8,90.9
MODINE MANUFACTURING CO (Quoted),Mar-10,3.3,1.9,17.4,66.5,2.1,8.9,8.9,1.6,6.2,0.6,87.5
MODINE MANUFACTURING CO (Quoted),Mar-09,3.3,2.1,16.4,65.5,2.1,8.9,8.9,1.6,6.2,0.6,87.5
MODINE MANUFACTURING CO (Quoted),Mar-08,3.1,2,15.4,64.5,2.1,8.9,8.9,1.7,6.2,0.6,87.5
MOODYS CORP (Dun & Bradstreet Corp prior to 09/2000) (Quoted),Current,5.1,3.3,7.9,65.6,2.5,3.4,3.4,1.4,4.2,0.7,87.5
MOODYS CORP (Dun & Bradstreet Corp prior to 09/2000) (Quoted),Dec-09,4.8,3.3,6.8,64.3,2.5,3.4,3.4,1.2,4.5,0.7,87.5
MOODYS CORP (Dun & Bradstreet Corp prior to 09/2000) (Quoted),Dec-08,4.8,3.3,5.8,63.3,2.5,3.4,3.4,1.2,4.5,0.7,87.5
MOODYS CORP (Dun & Bradstreet Corp prior to 09/2000) (Quoted),Dec-07,4.9,3.7,5.6,63.6,2.4,2.8,2.8,1,3.1,0.7,85.7
MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002) (Quoted),Current,5.4,2.7,6,64.3,2,4.2,4.9,3.6,3.6,0.8,83.3
MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002) (Quoted),Dec-09,5.8,2.8,5,61.1,2.3,3.7,4.5,3.6,5.1,0.9,83.3
MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002) (Quoted),Nov-08,5.2,2.8,4.8,60,2.4,3.4,4,2.9,5.4,0.7,80
MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002) (Quoted),Nov-07,5.1,3,3.8,59.4,2.5,3.3,3.9,2.8,5.3,0.7,81.8
MSC INDUSTRIAL DIRECT CO (Quoted),Current,1.8,1.6,8.2,62.6,2.2,5.7,5.7,0.4,5.1,0.4,80
MSC INDUSTRIAL DIRECT CO (Quoted),Aug-10,1.8,1.6,7.7,61.6,2.2,5.7,5.7,0.4,5.1,0.4,80
MSC INDUSTRIAL DIRECT CO (Quoted),Aug-09,2,1.8,8.6,60.5,2.3,4.8,4.8,0,5.7,0.4,75
MSC INDUSTRIAL DIRECT CO (Quoted),Aug-08,2,1.7,10.2,61,2.3,1.6,1.6,0,5.9,0.5,100
MUELLER INDUSTRIES INC (Quoted),Current,1.8,1.2,7.1,65,1.2,3.6,3.6,1.9,6,1.1,100
MUELLER INDUSTRIES INC (Quoted),Dec-09,1.8,1.3,6,63.2,1.2,3.6,3.6,1.9,6.1,1.1,100
MUELLER INDUSTRIES INC (Quoted),Dec-08,1.8,1.3,5,62.2,1.2,3.6,3.6,1.9,6.1,1.1,100
MUELLER INDUSTRIES INC (Quoted),Dec-07,2,1.4,4.8,62.4,1.2,3.4,3.4,2,5.9,1.2,100
NCI BUILDING SYSTEMS INC (Quoted),Current,3,2,4.3,58.1,1.9,6,6,1.7,14,0.6,87.5
NCI BUILDING SYSTEMS INC (Quoted),Nov-09,3.4,2,5,59.8,1.6,7,7,1.9,12.1,0.5,100
NCI BUILDING SYSTEMS INC (Quoted),Nov-08,3.6,1.6,7,63.3,1.8,5.7,5.7,1.9,5.8,0.6,100
NCI BUILDING SYSTEMS INC (Quoted),Oct-07,4,1.7,7.6,63.6,1.9,5.2,5.2,1.9,6,0.6,100
NEW YORK COMMUNITY BANCORP INC (Quoted),Current,1.6,1,9.8,76.9,0.8,4.4,4.8,0.5,9.4,1.2,91.7
NEW YORK COMMUNITY BANCORP INC (Quoted),Dec-09,1.6,1,8.8,75,0.8,4.4,4.8,0.5,9.5,1.2,91.7
NEW YORK COMMUNITY BANCORP INC (Quoted),Dec-08,1.6,1,7.8,74,0.8,4.4,4.8,0.5,9.5,1.2,91.7
NEW YORK COMMUNITY BANCORP INC (Quoted),Dec-07,1.5,1,6.6,72.5,0.8,4.3,4.7,0.5,9.2,1.1,92.3
NEWFIELD EXPLORATION CO (Quoted),Current,4.3,2,10.7,63.5,2.6,5.8,5.8,3.7,5,1.1,80
NEWFIELD EXPLORATION CO (Quoted),Dec-09,4.9,2.1,10.1,62.2,2.6,5.4,5.5,4,5,1,83.3
NEWFIELD EXPLORATION CO (Quoted),Dec-08,4.9,1.9,8.9,61.3,2.6,5.6,5.6,4.2,5.2,1.1,81.8
NEWFIELD EXPLORATION CO (Quoted),Dec-07,4.6,1.8,7.9,60.3,2.6,5.6,5.6,4,5.2,1.1,81.8
NOVELLUS SYSTEMS INC (Quoted),Current,3.4,1.6,10.2,64.6,2,4.2,4.2,2.4,8.3,0.8,85.7
NOVELLUS SYSTEMS INC (Quoted),Dec-09,3.1,1.6,9.4,63.8,2,4.1,4.1,2.4,8.2,0.7,87.5
NOVELLUS SYSTEMS INC (Quoted),Dec-08,3.1,1.9,8.4,62.8,2,4.1,4.1,2.4,8.2,0.7,87.5
NOVELLUS SYSTEMS INC (Quoted),Dec-07,3.1,2.1,7.4,61.8,2,4.1,4.1,2.4,8.2,0.7,87.5
NUSTAR ENERGY LP (Valero LP prior to 04/2007) (Quoted),Current,2.4,1.6,7,69.2,1.2,2,2,1.5,3.4,1.2,100
NUSTAR ENERGY LP (Valero LP prior to 04/2007) (Quoted),Dec-09,2.4,1.6,5.9,67.2,1.2,2,2,1.5,3.4,1.2,100
NUSTAR ENERGY LP (Valero LP prior to 04/2007) (Quoted),Dec-08,2.4,1.6,4.9,66.2,1.2,2,2,1.5,3.4,1.2,100
